grade,sub_grade,short_emp,emp_length_num,home_ownership,dti,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,safe_loans
C,C1,0,11,RENT,21.89,credit_card, 60 months,1,1,65.8,0.0,-1
C,C3,0,2,MORTGAGE,12.24,debt_consolidation, 36 months,0,1,90.8,0.0,-1
A,A3,1,0,OWN,16.3,debt_consolidation, 36 months,1,1,42.2,0.0,-1
C,C1,0,6,RENT,6.92,small_business, 36 months,0,1,69.5,0.0,-1
D,D3,1,1,RENT,16.1,debt_consolidation, 36 months,0,1,67.1,0.0,-1
D,D2,0,11,RENT,19.63,debt_consolidation, 36 months,1,1,74.9,0.0,-1
D,D3,0,9,RENT,16.03,debt_consolidation, 36 months,0,1,75.9,0.0,-1
B,B5,0,2,RENT,20.64,debt_consolidation, 36 months,1,1,89.3,26.8355,-1
B,B4,0,11,MORTGAGE,12.29,debt_consolidation, 36 months,1,1,73.4,0.0,-1
C,C2,0,11,RENT,20.16,debt_consolidation, 36 months,1,1,89.6,0.0,-1
B,B5,1,1,MORTGAGE,23.54,moving, 36 months,1,1,75.3,0.0,-1
D,D2,0,11,MORTGAGE,11.77,home_improvement, 60 months,1,1,72.7,0.0,-1
B,B3,0,7,MORTGAGE,26.22,credit_card, 60 months,1,1,90.9,0.0,-1
B,B5,0,3,RENT,2.69,credit_card, 36 months,1,1,70.2,0.0,-1
B,B5,0,3,RENT,6.86,debt_consolidation, 36 months,1,1,79.7,0.0,-1
B,B4,0,11,RENT,18.31,credit_card, 36 months,1,1,90.6,0.0,-1
A,A5,0,8,RENT,9.13,other, 36 months,1,1,83.5,0.0,-1
C,C1,0,11,RENT,16.22,small_business, 60 months,1,1,58.5,0.0,-1
B,B5,1,1,RENT,23.75,debt_consolidation, 60 months,1,1,94.1,0.0,-1
A,A4,0,11,OWN,19.74,debt_consolidation, 36 months,1,1,63.9,0.0,-1
B,B4,0,4,RENT,0.94,small_business, 60 months,1,1,3.2,33.6866,-1
D,D2,0,7,OWN,18.42,home_improvement, 60 months,1,1,73.4,0.0,-1
E,E4,0,4,RENT,22.56,credit_card, 60 months,1,1,91.1,0.0,-1
C,C4,0,11,OWN,10.79,debt_consolidation, 60 months,1,1,80.3,0.0,-1
B,B4,0,3,RENT,23.84,debt_consolidation, 36 months,1,1,89.7,0.0,-1
B,B1,0,11,RENT,13.0,debt_consolidation, 36 months,1,1,75.5,0.0,-1
B,B3,0,6,RENT,21.83,credit_card, 36 months,1,1,59.6,0.0,-1
A,A5,0,11,MORTGAGE,3.94,car, 36 months,1,1,8.1,0.0,-1
B,B3,0,11,RENT,16.36,debt_consolidation, 36 months,1,1,68.5,0.0,-1
B,B5,0,3,RENT,12.03,debt_consolidation, 36 months,1,1,84.6,0.0,-1
A,A3,0,5,RENT,29.04,debt_consolidation, 36 months,1,1,51.7,0.0,-1
B,B5,0,6,MORTGAGE,23.11,debt_consolidation, 36 months,1,1,71.1,0.0,-1
B,B5,0,4,OWN,24.76,debt_consolidation, 60 months,1,1,65.7,0.0,-1
B,B5,0,2,RENT,14.8,debt_consolidation, 36 months,1,1,81.3,0.0,-1
A,A4,1,1,RENT,1.68,debt_consolidation, 60 months,1,1,10.0,0.0,-1
E,E1,1,1,RENT,4.59,other, 36 months,1,1,99.8,0.0,-1
C,C3,0,11,RENT,16.51,debt_consolidation, 60 months,1,1,74.9,19.9122,-1
C,C3,1,0,RENT,6.0,major_purchase, 36 months,1,1,83.7,0.0,-1
C,C2,0,10,RENT,8.5,debt_consolidation, 36 months,1,1,61.5,0.0,-1
B,B3,1,1,RENT,18.18,debt_consolidation, 60 months,1,1,68.8,0.0,-1
D,D5,0,6,RENT,7.82,debt_consolidation, 36 months,1,1,79.3,0.0,-1
B,B2,0,11,MORTGAGE,13.37,other, 36 months,1,1,64.6,0.0,-1
D,D1,0,2,RENT,21.99,small_business, 36 months,0,1,84.1,0.0,-1
D,D3,0,9,RENT,17.15,debt_consolidation, 36 months,1,1,92.5,0.0,-1
A,A4,0,2,RENT,24.66,debt_consolidation, 36 months,1,1,81.0,0.0,-1
C,C4,0,11,OWN,5.47,debt_consolidation, 36 months,0,1,83.7,0.0,-1
A,A5,0,2,RENT,25.12,debt_consolidation, 60 months,0,1,37.6,0.0,-1
E,E5,0,4,OWN,16.39,debt_consolidation, 60 months,0,1,76.5,0.0,-1
C,C3,1,1,RENT,16.13,credit_card, 60 months,1,1,89.4,0.0,-1
C,C4,0,11,RENT,10.72,debt_consolidation, 36 months,1,1,75.2,0.0,-1
B,B5,0,7,RENT,17.6,home_improvement, 36 months,0,1,5.5,0.0,-1
E,E4,0,11,RENT,15.2,house, 60 months,1,1,22.4,0.0,-1
A,A4,1,0,MORTGAGE,27.0,home_improvement, 36 months,1,1,91.2,0.0,-1
C,C3,0,7,RENT,13.81,debt_consolidation, 36 months,1,1,60.2,0.0,-1
E,E5,0,2,RENT,14.23,debt_consolidation, 60 months,1,1,95.0,0.0,-1
D,D1,0,11,RENT,12.9,debt_consolidation, 36 months,1,1,93.3,0.0,-1
D,D4,0,6,RENT,21.29,debt_consolidation, 60 months,1,1,25.3,0.0,-1
B,B4,0,4,RENT,22.88,car, 36 months,1,1,74.4,0.0,-1
C,C2,0,3,RENT,8.49,credit_card, 36 months,1,1,68.5,0.0,-1
A,A4,0,5,MORTGAGE,5.29,home_improvement, 36 months,1,1,24.8,0.0,-1
A,A4,0,11,MORTGAGE,4.89,other, 36 months,1,1,85.3,0.0,-1
D,D4,1,0,MORTGAGE,22.54,debt_consolidation, 36 months,1,1,89.9,0.0,-1
B,B4,0,9,MORTGAGE,23.41,debt_consolidation, 60 months,1,1,44.2,20.8906,-1
D,D5,0,11,MORTGAGE,18.39,credit_card, 60 months,1,1,94.5,0.0,-1
A,A4,0,5,MORTGAGE,4.74,credit_card, 36 months,1,1,77.7,0.0,-1
D,D1,0,7,MORTGAGE,22.81,medical, 36 months,1,1,90.0,0.0,-1
B,B5,0,7,OWN,15.9,debt_consolidation, 36 months,1,1,65.3,0.0,-1
D,D1,0,5,MORTGAGE,15.16,other, 36 months,1,1,60.2,0.0,-1
F,F1,0,5,RENT,9.09,credit_card, 60 months,1,1,94.4,0.0,-1
E,E3,0,3,RENT,13.33,debt_consolidation, 36 months,0,1,89.1,0.0,-1
G,G2,0,6,RENT,20.88,other, 60 months,0,1,22.5,0.0,-1
C,C3,0,2,RENT,23.85,debt_consolidation, 36 months,1,1,41.5,0.0,-1
B,B3,0,6,RENT,23.96,debt_consolidation, 36 months,1,1,63.4,0.0,-1
C,C4,0,8,RENT,23.31,other, 60 months,1,1,74.1,0.0,-1
B,B4,0,11,RENT,7.22,debt_consolidation, 60 months,1,1,57.7,0.0,-1
C,C5,0,10,MORTGAGE,10.6,debt_consolidation, 36 months,1,1,77.8,0.0,-1
C,C1,0,11,RENT,20.96,debt_consolidation, 36 months,1,1,32.0,0.0,-1
D,D3,0,3,MORTGAGE,10.85,home_improvement, 36 months,1,1,95.3,0.0,-1
B,B4,1,1,RENT,6.3,car, 36 months,1,1,78.7,0.0,-1
B,B3,0,3,RENT,12.69,credit_card, 36 months,1,1,70.3,0.0,-1
B,B3,0,6,OWN,11.79,debt_consolidation, 36 months,1,1,78.2,0.0,-1
C,C2,0,11,MORTGAGE,20.05,credit_card, 36 months,1,1,87.6,0.0,-1
C,C2,0,8,RENT,15.68,credit_card, 36 months,1,1,96.9,0.0,-1
B,B5,0,11,RENT,15.4,debt_consolidation, 36 months,1,1,94.8,0.0,-1
B,B3,0,3,MORTGAGE,9.55,debt_consolidation, 36 months,1,1,77.6,0.0,-1
C,C1,1,1,OWN,12.87,debt_consolidation, 36 months,1,1,42.9,0.0,-1
F,F1,0,11,MORTGAGE,14.79,debt_consolidation, 60 months,0,1,75.5,0.0,-1
D,D4,1,1,RENT,21.14,debt_consolidation, 60 months,1,1,70.5,0.0,-1
A,A3,1,1,RENT,8.36,debt_consolidation, 36 months,1,1,82.7,0.0,-1
E,E5,0,6,RENT,7.69,debt_consolidation, 36 months,1,1,99.5,0.0,-1
A,A3,0,11,RENT,27.34,debt_consolidation, 36 months,1,1,74.8,0.0,-1
C,C4,0,7,RENT,13.83,credit_card, 36 months,1,1,91.8,0.0,-1
C,C4,0,3,MORTGAGE,23.76,debt_consolidation, 60 months,1,1,58.1,0.0,-1
B,B3,0,2,RENT,6.68,small_business, 36 months,1,1,88.6,0.0,-1
D,D2,0,11,RENT,5.06,credit_card, 60 months,1,1,90.0,0.0,-1
C,C5,0,9,RENT,20.14,credit_card, 60 months,1,1,83.7,0.0,-1
E,E3,1,1,MORTGAGE,9.12,debt_consolidation, 60 months,0,1,89.9,0.0,-1
E,E2,0,5,MORTGAGE,14.08,credit_card, 60 months,1,1,83.8,0.0,-1
C,C4,0,3,OWN,12.48,house, 36 months,1,1,81.8,0.0,-1
A,A4,1,1,MORTGAGE,7.75,small_business, 36 months,1,1,47.9,0.0,-1
D,D4,0,8,RENT,18.55,debt_consolidation, 36 months,0,1,76.5,0.0,-1
B,B3,0,6,RENT,10.41,debt_consolidation, 36 months,1,1,82.5,0.0,-1
C,C2,0,11,RENT,15.49,debt_consolidation, 36 months,1,1,80.4,0.0,-1
F,F1,1,1,MORTGAGE,20.46,debt_consolidation, 36 months,0,1,57.5,0.0,-1
F,F5,0,4,MORTGAGE,8.82,debt_consolidation, 60 months,1,1,99.3,0.0,-1
C,C1,0,10,RENT,14.49,debt_consolidation, 60 months,1,1,50.1,0.0,-1
B,B3,1,1,RENT,23.2,credit_card, 36 months,0,1,70.4,0.0,-1
D,D3,0,6,RENT,12.51,credit_card, 60 months,1,1,72.3,0.0,-1
D,D2,0,7,RENT,18.66,debt_consolidation, 60 months,1,1,92.1,0.0,-1
C,C2,0,6,MORTGAGE,21.71,home_improvement, 36 months,1,1,93.1,0.0,-1
C,C2,0,11,RENT,20.93,debt_consolidation, 36 months,1,1,98.4,0.0,-1
B,B4,0,5,RENT,23.79,credit_card, 36 months,0,1,76.0,14.9836,-1
E,E1,0,6,OWN,12.75,credit_card, 60 months,1,1,72.2,0.0,-1
A,A4,1,1,RENT,12.66,credit_card, 36 months,0,1,62.3,0.0,-1
D,D2,0,4,OWN,18.09,debt_consolidation, 60 months,0,1,69.6,0.0,-1
A,A3,1,1,MORTGAGE,10.23,other, 36 months,1,1,26.1,0.0,-1
F,F1,0,6,RENT,7.14,other, 36 months,1,1,99.2,0.0,-1
D,D3,0,11,RENT,24.84,other, 60 months,1,1,68.8,0.0,-1
D,D3,0,11,MORTGAGE,17.54,home_improvement, 60 months,1,1,89.9,0.0,-1
C,C4,1,1,RENT,16.37,credit_card, 36 months,0,1,81.7,0.0,-1
B,B3,0,4,MORTGAGE,8.07,small_business, 60 months,1,1,25.3,0.0,-1
B,B3,0,11,RENT,20.37,debt_consolidation, 36 months,1,1,59.6,0.0,-1
D,D3,0,8,OWN,15.8,debt_consolidation, 60 months,1,1,74.2,0.0,-1
A,A3,0,2,RENT,9.02,debt_consolidation, 36 months,1,1,9.8,28.7554,-1
C,C5,1,0,RENT,10.25,credit_card, 36 months,1,1,62.7,0.0,-1
B,B5,0,6,MORTGAGE,18.95,debt_consolidation, 36 months,1,1,64.5,15.9046,-1
D,D5,0,6,RENT,6.27,debt_consolidation, 60 months,0,1,63.1,15.32,-1
A,A3,1,0,RENT,14.14,other, 36 months,0,1,20.5,0.0,-1
E,E1,0,11,RENT,12.94,other, 36 months,0,1,99.0,0.0,-1
D,D3,0,11,MORTGAGE,7.97,credit_card, 36 months,0,1,96.0,0.0,-1
C,C4,1,0,OWN,12.62,debt_consolidation, 36 months,1,1,91.0,0.0,-1
B,B3,0,4,RENT,9.75,credit_card, 36 months,1,1,92.7,0.0,-1
B,B2,0,11,MORTGAGE,16.49,medical, 36 months,1,1,63.7,0.0,-1
B,B2,0,11,RENT,22.01,debt_consolidation, 60 months,1,1,63.7,0.0,-1
E,E4,0,8,MORTGAGE,16.33,other, 60 months,0,1,25.6,0.0,-1
C,C4,0,4,RENT,8.25,debt_consolidation, 36 months,1,1,91.8,0.0,-1
C,C2,0,9,MORTGAGE,13.13,debt_consolidation, 60 months,1,1,26.0,0.0,-1
D,D2,0,11,RENT,12.62,credit_card, 60 months,1,1,70.9,0.0,-1
A,A4,0,5,RENT,7.9,small_business, 36 months,1,1,94.1,0.0,-1
B,B4,0,2,RENT,11.2,debt_consolidation, 36 months,1,1,77.1,0.0,-1
A,A3,0,11,RENT,20.75,debt_consolidation, 36 months,0,1,16.0,0.0,-1
E,E5,1,1,MORTGAGE,19.31,debt_consolidation, 60 months,1,1,62.8,0.0,-1
C,C2,1,1,RENT,12.85,major_purchase, 60 months,1,1,51.7,0.0,-1
A,A5,1,0,MORTGAGE,20.29,debt_consolidation, 36 months,1,1,33.4,0.0,-1
A,A2,0,4,OWN,16.32,other, 36 months,1,1,27.7,0.0,-1
B,B1,0,11,MORTGAGE,17.38,wedding, 36 months,1,1,80.8,0.0,-1
D,D4,0,11,RENT,16.56,credit_card, 36 months,1,1,88.1,0.0,-1
C,C1,1,1,RENT,13.95,debt_consolidation, 36 months,0,1,78.0,0.0,-1
D,D3,0,9,RENT,10.02,credit_card, 60 months,1,1,65.6,0.0,-1
B,B3,0,2,RENT,24.27,small_business, 36 months,0,1,21.5,14.9501,-1
A,A2,0,11,RENT,21.91,debt_consolidation, 36 months,1,1,63.8,0.0,-1
F,F4,0,6,RENT,11.76,credit_card, 60 months,1,1,88.7,0.0,-1
D,D5,0,2,RENT,17.25,debt_consolidation, 60 months,1,1,68.3,0.0,-1
C,C1,0,11,MORTGAGE,10.78,small_business, 60 months,0,1,57.2,0.0,-1
B,B4,1,0,RENT,12.55,credit_card, 36 months,0,1,88.5,0.0,-1
C,C3,0,5,RENT,19.44,credit_card, 36 months,1,1,90.9,0.0,-1
E,E1,0,7,RENT,19.15,debt_consolidation, 60 months,1,1,63.4,0.0,-1
C,C1,0,6,RENT,17.18,credit_card, 36 months,1,1,86.6,0.0,-1
A,A3,0,4,RENT,13.2,other, 36 months,1,1,42.6,0.0,-1
B,B5,0,7,MORTGAGE,23.23,debt_consolidation, 36 months,0,1,36.9,0.0,-1
C,C1,0,2,RENT,17.81,debt_consolidation, 36 months,0,1,21.2,0.0,-1
B,B1,1,0,RENT,19.9,home_improvement, 36 months,1,1,0.0,0.0,-1
C,C5,0,11,MORTGAGE,24.85,debt_consolidation, 36 months,0,1,81.6,14.9765,-1
F,F2,0,11,RENT,19.25,credit_card, 60 months,1,1,84.1,0.0,-1
B,B3,1,1,RENT,22.06,debt_consolidation, 36 months,0,1,65.3,0.0,-1
C,C2,0,3,MORTGAGE,19.54,debt_consolidation, 36 months,1,1,91.0,0.0,-1
E,E5,1,1,MORTGAGE,8.5,other, 60 months,0,1,75.0,0.0,-1
C,C1,0,2,RENT,18.46,credit_card, 60 months,1,1,53.0,0.0,-1
D,D3,0,4,RENT,24.09,other, 36 months,1,1,96.4,0.0,-1
A,A3,0,8,RENT,15.63,debt_consolidation, 36 months,1,1,4.4,0.0,-1
E,E4,1,0,RENT,18.68,other, 60 months,0,1,0.0,0.0,-1
E,E2,0,3,MORTGAGE,12.14,debt_consolidation, 60 months,1,1,98.3,0.0,-1
A,A5,0,5,MORTGAGE,21.65,home_improvement, 36 months,1,1,65.7,14.9632,-1
D,D5,1,1,RENT,6.96,debt_consolidation, 60 months,0,1,67.2,61.2471,-1
A,A2,0,6,RENT,27.78,debt_consolidation, 36 months,1,1,34.6,0.0,-1
F,F3,0,3,MORTGAGE,7.94,wedding, 60 months,0,1,28.8,0.0,-1
B,B4,0,11,MORTGAGE,14.0,credit_card, 36 months,1,1,94.5,0.0,-1
B,B2,0,9,MORTGAGE,16.34,credit_card, 36 months,1,1,59.8,0.0,-1
C,C2,1,1,RENT,20.68,debt_consolidation, 60 months,1,1,64.6,0.0,-1
D,D3,0,7,OWN,10.28,car, 60 months,0,1,70.1,0.0,-1
A,A3,0,8,RENT,22.29,debt_consolidation, 36 months,1,1,79.1,0.0,-1
C,C5,0,11,MORTGAGE,15.04,debt_consolidation, 60 months,1,1,88.0,0.0,-1
C,C2,0,5,MORTGAGE,12.18,other, 60 months,0,1,67.1,0.0,-1
D,D3,1,1,RENT,15.9,credit_card, 60 months,0,1,65.3,0.0,-1
B,B4,0,4,RENT,10.34,small_business, 60 months,1,1,57.2,0.0,-1
E,E2,0,8,MORTGAGE,13.41,debt_consolidation, 60 months,0,1,49.4,0.0,-1
B,B5,0,11,MORTGAGE,8.05,credit_card, 60 months,1,1,41.2,26.9754,-1
C,C1,0,11,MORTGAGE,8.8,credit_card, 60 months,0,1,60.4,0.0,-1
E,E1,0,3,MORTGAGE,11.8,debt_consolidation, 60 months,1,1,94.6,0.0,-1
B,B5,0,6,RENT,11.13,debt_consolidation, 36 months,0,1,82.0,0.0,-1
D,D1,0,6,RENT,6.1,credit_card, 36 months,0,1,44.2,0.0,-1
B,B5,0,7,RENT,6.33,credit_card, 36 months,1,1,89.8,0.0,-1
D,D5,0,11,MORTGAGE,21.41,debt_consolidation, 60 months,0,1,47.7,0.0,-1
G,G2,0,4,MORTGAGE,18.36,home_improvement, 60 months,1,1,93.2,0.0,-1
B,B4,1,1,RENT,8.92,debt_consolidation, 36 months,1,1,63.0,0.0,-1
D,D2,0,11,MORTGAGE,24.54,home_improvement, 36 months,1,1,92.6,0.0,-1
D,D4,0,9,RENT,23.91,debt_consolidation, 60 months,0,1,70.7,0.0,-1
A,A5,1,1,RENT,8.24,moving, 36 months,1,1,0.8,0.0,-1
A,A5,0,3,RENT,6.13,other, 36 months,1,1,27.7,0.0,-1
F,F4,0,8,RENT,7.04,small_business, 60 months,1,1,78.7,0.0,-1
C,C2,0,11,MORTGAGE,9.35,debt_consolidation, 60 months,0,1,67.6,14.9722,-1
C,C4,0,11,RENT,19.58,debt_consolidation, 36 months,1,1,63.2,0.0,-1
B,B2,0,5,RENT,8.58,debt_consolidation, 36 months,0,1,73.8,0.0,-1
C,C4,0,7,RENT,20.5,debt_consolidation, 36 months,1,1,72.2,0.0,-1
E,E1,0,3,MORTGAGE,10.18,debt_consolidation, 60 months,1,1,92.7,0.0,-1
F,F5,0,11,RENT,17.57,debt_consolidation, 36 months,0,1,99.8,0.0,-1
B,B5,0,4,MORTGAGE,13.28,debt_consolidation, 36 months,1,1,53.3,0.0,-1
B,B1,1,1,RENT,3.88,moving, 36 months,1,1,18.2,0.0,-1
F,F2,0,5,MORTGAGE,16.56,debt_consolidation, 60 months,1,1,89.8,0.0,-1
C,C1,0,11,RENT,23.31,debt_consolidation, 60 months,1,1,80.8,0.0,-1
D,D2,1,0,RENT,7.39,credit_card, 60 months,0,1,82.6,0.0,-1
E,E4,0,11,RENT,14.38,debt_consolidation, 60 months,0,1,93.7,15.87,-1
F,F5,0,2,MORTGAGE,21.16,other, 60 months,0,1,72.3,0.0,-1
E,E5,0,7,OWN,19.17,debt_consolidation, 60 months,1,1,85.1,0.0,-1
A,A4,1,0,MORTGAGE,27.15,debt_consolidation, 36 months,1,1,74.8,0.0,-1
D,D1,0,7,MORTGAGE,14.01,debt_consolidation, 36 months,1,1,72.9,0.0,-1
E,E2,0,3,RENT,15.54,debt_consolidation, 36 months,0,1,99.2,0.0,-1
E,E5,0,11,RENT,4.69,small_business, 60 months,1,1,73.5,0.0,-1
F,F1,0,5,RENT,6.27,debt_consolidation, 60 months,1,1,71.5,0.0,-1
F,F5,1,1,MORTGAGE,15.84,debt_consolidation, 60 months,1,1,80.6,0.0,-1
D,D2,0,5,RENT,12.87,car, 36 months,0,1,0.0,0.0,-1
D,D1,0,2,RENT,15.0,debt_consolidation, 36 months,1,1,72.9,0.0,-1
C,C2,0,5,MORTGAGE,8.88,debt_consolidation, 60 months,0,1,68.5,0.0,-1
B,B2,1,1,RENT,1.88,car, 36 months,1,1,64.1,14.9846,-1
D,D4,0,3,RENT,1.0,house, 60 months,1,1,0.0,0.0,-1
D,D1,1,1,OWN,22.08,debt_consolidation, 36 months,1,1,70.3,15.0,-1
D,D2,0,7,RENT,19.95,debt_consolidation, 60 months,0,1,71.4,0.0,-1
F,F1,0,11,MORTGAGE,16.23,debt_consolidation, 60 months,0,1,63.2,0.0,-1
E,E1,0,8,MORTGAGE,13.17,credit_card, 60 months,1,1,57.9,0.0,-1
E,E1,0,7,RENT,17.67,debt_consolidation, 36 months,1,1,73.3,0.0,-1
A,A3,0,6,OWN,17.07,debt_consolidation, 36 months,1,1,66.7,0.0,-1
D,D3,0,3,RENT,6.93,debt_consolidation, 36 months,0,1,47.4,0.0,-1
A,A4,0,11,MORTGAGE,15.0,credit_card, 36 months,1,1,74.5,0.0,-1
D,D2,0,11,MORTGAGE,20.79,debt_consolidation, 60 months,1,1,56.8,0.0,-1
D,D1,0,2,RENT,15.61,other, 36 months,1,1,88.6,0.0,-1
B,B3,0,6,RENT,6.04,debt_consolidation, 36 months,1,1,59.8,0.0,-1
E,E3,0,4,RENT,15.87,debt_consolidation, 60 months,1,1,19.0,0.0,-1
F,F2,0,3,OWN,21.9,credit_card, 60 months,0,1,92.4,0.0,-1
E,E1,0,5,OWN,22.49,debt_consolidation, 60 months,0,1,78.1,30.864,-1
D,D5,0,11,MORTGAGE,10.45,debt_consolidation, 60 months,1,1,72.4,0.0,-1
C,C2,0,11,RENT,13.75,debt_consolidation, 60 months,0,1,43.3,0.0,-1
E,E1,1,1,MORTGAGE,7.11,debt_consolidation, 36 months,0,1,48.3,0.0,-1
D,D2,0,11,MORTGAGE,9.57,debt_consolidation, 36 months,0,1,59.2,0.0,-1
A,A4,0,5,RENT,15.07,debt_consolidation, 36 months,1,1,68.6,0.0,-1
B,B5,0,6,RENT,4.68,debt_consolidation, 60 months,0,1,46.7,0.0,-1
B,B5,0,10,RENT,15.21,debt_consolidation, 36 months,1,1,62.2,0.0,-1
E,E4,0,2,RENT,15.35,debt_consolidation, 60 months,1,1,78.3,0.0,-1
B,B4,0,6,RENT,15.94,credit_card, 36 months,1,1,37.2,0.0,-1
A,A5,1,1,RENT,3.8,debt_consolidation, 36 months,1,1,36.0,0.0,-1
B,B1,1,0,RENT,12.22,other, 36 months,0,1,65.6,0.0,-1
E,E4,0,8,MORTGAGE,11.2,home_improvement, 60 months,1,1,94.1,0.0,-1
D,D3,0,8,RENT,19.83,debt_consolidation, 60 months,0,1,64.4,0.0,-1
F,F1,0,6,MORTGAGE,24.14,debt_consolidation, 60 months,0,1,84.6,0.0,-1
C,C4,0,11,MORTGAGE,12.47,debt_consolidation, 60 months,0,1,66.6,0.0,-1
A,A3,0,3,RENT,7.71,debt_consolidation, 36 months,1,1,59.2,0.0,-1
A,A2,0,11,RENT,10.84,debt_consolidation, 36 months,1,1,54.1,0.0,-1
C,C1,1,1,MORTGAGE,12.12,debt_consolidation, 36 months,1,1,92.4,0.0,-1
F,F1,0,3,RENT,6.52,debt_consolidation, 60 months,0,1,94.6,0.0,-1
C,C2,0,7,MORTGAGE,23.1,debt_consolidation, 36 months,1,1,72.7,0.0,-1
C,C2,0,6,RENT,17.34,debt_consolidation, 36 months,0,1,52.2,0.0,-1
F,F4,0,5,RENT,22.42,debt_consolidation, 60 months,1,1,92.6,0.0,-1
A,A3,0,3,RENT,19.56,debt_consolidation, 36 months,1,1,72.2,15.5265,-1
E,E1,1,1,RENT,23.14,debt_consolidation, 60 months,1,1,78.5,0.0,-1
C,C2,0,4,MORTGAGE,19.77,credit_card, 36 months,1,1,43.9,0.0,-1
B,B2,0,3,RENT,21.06,debt_consolidation, 36 months,1,1,62.4,14.9913,-1
D,D5,0,11,RENT,18.35,wedding, 60 months,0,1,78.5,0.0,-1
C,C1,0,5,OWN,14.33,wedding, 36 months,1,1,72.5,0.0,-1
C,C4,0,11,RENT,18.63,debt_consolidation, 36 months,1,1,88.6,0.0,-1
C,C4,0,11,MORTGAGE,23.38,other, 36 months,0,1,11.6,0.0,-1
B,B5,0,4,RENT,21.55,credit_card, 36 months,1,1,77.4,0.0,-1
E,E1,0,7,OWN,13.34,credit_card, 60 months,1,1,65.2,0.0,-1
C,C1,0,7,RENT,14.55,debt_consolidation, 60 months,1,1,64.0,0.0,-1
E,E3,0,9,RENT,10.56,other, 60 months,1,1,56.7,0.0,-1
B,B3,0,11,RENT,19.92,credit_card, 36 months,0,1,82.7,0.0,-1
A,A4,0,11,MORTGAGE,14.37,credit_card, 36 months,1,1,82.4,0.0,-1
D,D4,0,2,OWN,17.6,debt_consolidation, 60 months,1,1,82.6,0.0,-1
C,C2,1,1,RENT,1.75,other, 36 months,1,1,17.9,14.9668,-1
D,D1,0,2,RENT,20.03,medical, 36 months,1,1,89.6,0.0,-1
F,F3,0,11,MORTGAGE,10.45,other, 60 months,0,1,18.2,0.0,-1
A,A5,0,11,MORTGAGE,9.65,debt_consolidation, 60 months,1,1,0.4,0.0,-1
C,C2,0,11,MORTGAGE,7.42,debt_consolidation, 60 months,1,1,66.8,0.0,-1
C,C5,0,10,RENT,9.39,credit_card, 36 months,1,1,89.8,0.0,-1
E,E5,0,7,MORTGAGE,20.05,credit_card, 60 months,1,1,90.5,0.0,-1
B,B4,0,5,RENT,22.58,credit_card, 36 months,1,1,93.2,21.357,-1
G,G2,1,1,MORTGAGE,15.06,credit_card, 60 months,1,1,90.2,0.0,-1
F,F1,0,11,RENT,14.11,debt_consolidation, 60 months,0,1,87.4,0.0,-1
B,B1,0,5,RENT,22.24,debt_consolidation, 36 months,1,1,76.7,0.0,-1
D,D5,0,11,MORTGAGE,11.49,debt_consolidation, 60 months,1,1,84.9,0.0,-1
D,D3,0,5,RENT,8.56,debt_consolidation, 36 months,0,1,0.0,0.0,-1
B,B4,0,8,MORTGAGE,12.84,credit_card, 36 months,1,1,78.8,0.0,-1
