"customer","order","total_items","discount%","weekday","hour","Food%","Fresh%","Drinks%","Home%","Beauty%","Health%","Baby%","Pets%"
3, 44, 23, 7.23, 7, 19, 17.31, 72.43, 10.26, 0, 0, 0, 0, 0
3, 45, 41, 5.45, 1, 16, 38.53, 49.12, 6.86, 5.49, 0, 0, 0, 0
3, 46, 45, 0, 1, 11, 28.48, 58.01, 8.88, 4.63, 0, 0, 0, 0
4, 47, 23, 0.65, 3, 9, 8.23, 82.63, 9.14, 0, 0, 0, 0, 0
4, 48, 20, 5.49, 1, 10, 0, 86.42, 12.31, 1.27, 0, 0, 0, 0
4, 49, 7, 3.06, 1, 13, 100.0, 0, 0, 0, 0, 0, 0, 0
4, 50, 37, 4.55, 1, 10, 8.39, 73.2, 5.78, 9.03, 3.61, 0, 0, 0
4, 51, 29, 4.28, 1, 8, 23.35, 54.11, 20.64, 0, 0, 0, 1.9, 0
4, 52, 1, 0, 1, 11, 0, 0, 0, 100.0, 0, 0, 0, 0
4, 53, 33, 1.39, 1, 8, 17.06, 74.68, 5.21, 3.04, 0, 0, 0, 0
4, 54, 3, 30.06, 1, 13, 0, 0, 0, 100.0, 0, 0, 0, 0
4, 55, 23, 5.81, 7, 21, 0, 53.76, 33.55, 12.69, 0, 0, 0, 0
4, 56, 32, 3.1, 3, 19, 36.49, 53.59, 9.92, 0, 0, 0, 0, 0
4, 57, 6, 3.48, 4, 12, 89.37, 10.63, 0, 0, 0, 0, 0, 0
4, 58, 15, 2.37, 7, 20, 0, 66.51, 15.74, 17.75, 0, 0, 0, 0
4, 59, 31, 5.46, 7, 21, 2.82, 63.5, 18.03, 8.45, 7.2, 0, 0, 0
4, 60, 23, 0, 7, 9, 4.36, 79.61, 14.69, 1.34, 0, 0, 0, 0
4, 61, 3, 15.02, 1, 7, 100.0, 0, 0, 0, 0, 0, 0, 0
4, 62, 37, 1.75, 7, 21, 19.32, 66.91, 12.3, 1.46, 0, 0, 0, 0
4, 63, 17, 0.37, 4, 16, 42.59, 39.73, 5.89, 11.79, 0, 0, 0, 0
4, 64, 19, 0, 2, 12, 0, 67.33, 16.09, 16.58, 0, 0, 0, 0
4, 65, 9, 0, 2, 12, 47.08, 16.59, 36.33, 0, 0, 0, 0, 0
4, 66, 4, 0, 2, 12, 0, 100.0, 0, 0, 0, 0, 0, 0
4, 67, 12, 0, 3, 12, 37.17, 62.83, 0, 0, 0, 0, 0, 0
4, 68, 19, 0.94, 1, 10, 30.93, 54.68, 14.39, 0, 0, 0, 0, 0
4, 69, 10, 5, 2, 22, 0, 60.98, 0, 39.02, 0, 0, 0, 0
4, 70, 18, 17.78, 7, 11, 47.05, 36.73, 7.79, 8.42, 0, 0, 0, 0
4, 71, 9, 7.22, 1, 7, 64.64, 0, 0, 35.36, 0, 0, 0, 0
4, 72, 25, 7.34, 2, 13, 23.79, 54.47, 21.74, 0, 0, 0, 0, 0
4, 73, 13, 0, 1, 11, 0, 73.6, 12.4, 4.98, 9.02, 0, 0, 0
4, 74, 15, 1.7, 4, 21, 17.76, 48.9, 26.5, 6.84, 0, 0, 0, 0
4, 75, 3, 0, 5, 8, 0, 100.0, 0, 0, 0, 0, 0, 0
5, 76, 21, 11.76, 2, 23, 6.84, 0, 24.02, 26.87, 10.21, 0, 32.06, 0
6, 77, 38, 2.59, 2, 12, 35.6, 10.45, 44.21, 9.74, 0, 0, 0, 0
6, 78, 49, 4.07, 1, 11, 52.0, 9.61, 26.43, 6.43, 5.53, 0, 0, 0
6, 79, 33, 1.51, 3, 7, 48.6, 24.8, 5.63, 2.24, 10.31, 0, 0, 8.42
6, 80, 40, 6.94, 1, 12, 33.75, 31.1, 21.84, 0, 6.41, 0, 0, 6.9
6, 81, 34, 4.83, 1, 12, 27.56, 28.15, 11.96, 10.02, 4.21, 0, 18.09, 0
6, 82, 34, 1.87, 1, 14, 29.61, 29.89, 15.02, 11.98, 0, 0, 13.51, 0
6, 83, 43, 3.1, 3, 16, 41.65, 20.96, 24.41, 12.98, 0, 0, 0, 0
6, 84, 45, 2.31, 4, 9, 36.86, 25.95, 21.31, 0, 0, 0, 15.88, 0
6, 85, 46, 0.49, 7, 15, 42.61, 32.52, 5.59, 3.52, 1.99, 0, 13.78, 0
6, 86, 43, 3.11, 4, 13, 43.63, 26.36, 13.94, 7.93, 0, 0, 8.14, 0
6, 87, 39, 0.89, 3, 11, 39.99, 20.91, 31.03, 4.69, 0, 0, 0, 3.38
6, 88, 43, 0.76, 2, 14, 27.16, 33.56, 19.88, 2.77, 0, 0, 16.63, 0
6, 89, 43, 2.42, 1, 20, 52.08, 14.71, 15.13, 0.93, 0, 0, 0, 17.14
7, 90, 40, 0.93, 1, 20, 23.7, 52.54, 13.93, 0, 9.83, 0, 0, 0
8, 91, 54, 22.61, 2, 23, 15.62, 49.03, 21.49, 2.24, 11.62, 0, 0, 0
8, 92, 25, 18.59, 4, 12, 41.34, 26.76, 18.92, 12.98, 0, 0, 0, 0
8, 93, 17, 30.6, 1, 22, 24.87, 0, 15.77, 48.51, 10.85, 0, 0, 0
8, 94, 33, 34.9, 1, 13, 33.74, 46.96, 12.12, 1.62, 5.57, 0, 0, 0
8, 95, 55, 20.63, 2, 13, 27.8, 49.39, 22.81, 0, 0, 0, 0, 0
8, 96, 32, 24.44, 4, 22, 7.18, 33.83, 53.07, 5.92, 0, 0, 0, 0
8, 97, 29, 20.71, 1, 11, 29.16, 34.48, 8.06, 25.0, 3.3, 0, 0, 0
8, 98, 37, 16.88, 5, 12, 13.02, 60.08, 26.9, 0, 0, 0, 0, 0
9, 99, 21, 3.26, 2, 8, 0, 50.71, 37.16, 6.18, 0, 0, 5.96, 0
9, 100, 27, 0.82, 6, 17, 18.27, 64.24, 15.46, 2.04, 0, 0, 0, 0
9, 101, 15, 6.27, 7, 10, 18.1, 62.86, 0, 0, 0, 19.05, 0, 0
9, 102, 1, 0, 1, 8, 0, 100.0, 0, 0, 0, 0, 0, 0
9, 103, 17, 4.36, 7, 23, 2.62, 25.94, 50.35, 0, 0, 21.08, 0, 0
9, 104, 16, 6.3, 2, 9, 19.82, 68.75, 4.53, 6.9, 0, 0, 0, 0
9, 105, 13, 0, 1, 8, 5.35, 89.89, 4.77, 0, 0, 0, 0, 0
9, 106, 19, 1.84, 1, 11, 0, 58.39, 6.62, 10.44, 0, 24.55, 0, 0
9, 107, 29, 8.02, 7, 10, 25.62, 19.48, 17.34, 8.28, 29.27, 0, 0, 0
9, 108, 3, 0, 1, 8, 0, 100.0, 0, 0, 0, 0, 0, 0
9, 109, 23, 3.72, 6, 14, 8.69, 80.31, 8.24, 2.76, 0, 0, 0, 0
9, 110, 29, 1.46, 6, 15, 13.09, 57.51, 25.37, 2.49, 0, 0, 1.54, 0
10, 111, 23, 15.94, 1, 19, 9.37, 0, 0, 42.45, 48.18, 0, 0, 0
10, 112, 26, 6.93, 3, 22, 4.93, 0, 0, 34.17, 54.72, 6.17, 0, 0
11, 113, 50, 16.42, 1, 11, 30.41, 8.28, 7.95, 9.85, 1.82, 7.46, 34.22, 0
11, 114, 57, 20.5, 2, 17, 31.74, 4.87, 2.28, 10.1, 7.61, 0, 43.4, 0
11, 115, 24, 16.27, 4, 21, 17.02, 3.77, 3.12, 0, 0, 0, 76.1, 0
11, 116, 34, 16.08, 2, 8, 44.73, 3.24, 5.84, 25.13, 3.87, 0, 17.18, 0
11, 117, 69, 18.22, 3, 16, 34.33, 5.96, 2.18, 19.31, 11.78, 10.97, 13.59, 0
12, 118, 83, 1.84, 7, 17, 32.36, 7.83, 15.68, 9.94, 5.68, 1.3, 27.21, 0
12, 119, 21, 3.13, 4, 23, 23.02, 3.2, 18.48, 26.39, 3.8, 0, 25.12, 0
12, 120, 26, 0.53, 5, 13, 29.91, 3.33, 21.63, 6.65, 0, 0, 38.48, 0
12, 121, 26, 4.11, 1, 12, 12.05, 7.99, 15.8, 24.65, 0, 0, 39.51, 0
12, 122, 46, 3.63, 1, 14, 30.12, 0.68, 24.1, 5.84, 0, 0, 39.26, 0
12, 123, 31, 0.61, 3, 14, 38.01, 0, 21.13, 3.87, 1.89, 0, 35.09, 0
12, 124, 33, 0.09, 2, 22, 20.06, 0, 27.57, 34.37, 0, 0, 17.99, 0
12, 125, 40, 2.09, 3, 15, 23.18, 0, 10.95, 15.49, 0, 0, 50.38, 0
12, 126, 20, 1.62, 3, 14, 31.58, 9.31, 18.55, 4.12, 0, 0, 36.44, 0
13, 127, 32, 0, 1, 9, 0, 76.95, 0, 0, 8.28, 0, 14.77, 0
14, 128, 26, 7.74, 7, 22, 44.64, 30.76, 0, 6.65, 17.94, 0, 0, 0
14, 129, 25, 3.5, 1, 9, 48.91, 7.19, 11.93, 16.15, 7.07, 0, 8.74, 0
14, 130, 32, 6.28, 1, 12, 27.77, 19.7, 9.76, 25.35, 11.33, 0, 6.1, 0
14, 131, 27, 1.16, 1, 9, 56.44, 18.25, 5.56, 11.48, 2.81, 0, 5.45, 0
14, 132, 31, 0.8, 3, 14, 34.48, 25.13, 12.76, 12.66, 14.97, 0, 0, 0
14, 133, 46, 2.88, 1, 14, 37.12, 19.55, 22.32, 10.84, 10.17, 0, 0, 0
14, 134, 46, 1.16, 1, 12, 32.05, 6.14, 22.01, 16.6, 9.5, 0, 13.7, 0
15, 135, 25, 10.98, 7, 14, 0, 12.29, 25.54, 51.25, 6.73, 4.19, 0, 0
16, 136, 16, 14, 5, 13, 0, 51.12, 28.3, 20.58, 0, 0, 0, 0
17, 137, 53, 18.1, 1, 15, 11.65, 37.46, 12.65, 0, 0, 0, 38.24, 0
18, 138, 35, 19.46, 6, 12, 16.55, 51.93, 2.61, 9.96, 18.96, 0, 0, 0
18, 139, 22, 23.54, 1, 13, 17.46, 58.34, 0, 24.21, 0, 0, 0, 0
18, 140, 16, 21.57, 4, 13, 1.69, 36.07, 62.24, 0, 0, 0, 0, 0
18, 141, 17, 21.36, 4, 13, 13.76, 45.97, 40.26, 0, 0, 0, 0, 0
18, 142, 13, 1.32, 4, 13, 49.42, 32.88, 0, 17.7, 0, 0, 0, 0
19, 143, 17, 12.66, 1, 23, 11.75, 13.42, 41.83, 33.0, 0, 0, 0, 0
19, 144, 36, 33.43, 1, 23, 17.24, 50.22, 26.7, 2.78, 0, 0, 3.06, 0
19, 145, 31, 4.79, 2, 23, 6.1, 56.53, 37.37, 0, 0, 0, 0, 0
20, 146, 47, 2.18, 2, 9, 22.04, 26.11, 20.42, 10.34, 0, 8.87, 12.23, 0
20, 147, 49, 5.7, 2, 8, 38.39, 1.27, 22.12, 31.11, 0, 7.11, 0, 0
21, 148, 17, 0.81, 3, 20, 18.39, 0, 32.7, 43.74, 5.17, 0, 0, 0
21, 149, 22, 0.78, 4, 21, 23.26, 0, 30.58, 35.91, 10.25, 0, 0, 0
21, 150, 15, 0.82, 4, 12, 57.74, 0, 31.71, 10.55, 0, 0, 0, 0
21, 151, 22, 0.74, 1, 21, 15.56, 0, 27.22, 46.6, 7.15, 0, 3.47, 0
22, 152, 31, 5.19, 7, 16, 9.96, 13.96, 21.65, 21.51, 27.56, 0, 5.35, 0
22, 153, 31, 0.38, 1, 10, 18.16, 23.02, 24.69, 11.08, 19.85, 0, 3.19, 0
22, 154, 33, 0.15, 5, 11, 21.24, 27.03, 29.25, 6.57, 1.12, 14.8, 0, 0
22, 155, 31, 2.69, 3, 11, 24.2, 18.84, 9.8, 30.83, 16.33, 0, 0, 0
23, 156, 28, 0, 4, 23, 6.98, 84.96, 8.06, 0, 0, 0, 0, 0
24, 157, 14, 7.49, 1, 11, 67.74, 0, 0, 32.26, 0, 0, 0, 0
25, 158, 23, 1.3, 2, 19, 1.74, 18.27, 21.33, 25.14, 24.13, 9.39, 0, 0
25, 159, 36, 5.13, 2, 20, 16.18, 34.05, 24.79, 24.99, 0, 0, 0, 0
25, 160, 38, 4.24, 7, 21, 13.09, 34.0, 23.35, 7.72, 17.0, 4.85, 0, 0
25, 161, 34, 8.92, 2, 22, 26.71, 12.99, 18.19, 35.89, 0, 6.22, 0, 0
26, 162, 25, 0, 1, 18, 6.88, 0, 24.65, 43.58, 3.7, 0, 0, 21.19
27, 163, 28, 5.59, 1, 20, 41.82, 18.93, 39.25, 0, 0, 0, 0, 0
27, 164, 15, 8.69, 7, 11, 31.68, 0, 61.41, 2.76, 4.15, 0, 0, 0
27, 165, 23, 0, 7, 12, 25.35, 6.84, 61.86, 5.95, 0, 0, 0, 0
27, 166, 25, 1.24, 1, 14, 38.92, 30.52, 14.43, 16.13, 0, 0, 0, 0
27, 167, 34, 1.35, 5, 17, 16.89, 43.23, 32.75, 7.13, 0, 0, 0, 0
27, 168, 19, 0, 2, 18, 26.89, 34.55, 38.56, 0, 0, 0, 0, 0
28, 169, 9, 12.76, 1, 21, 35.99, 0, 11.01, 53.0, 0, 0, 0, 0
28, 170, 8, 17.93, 6, 13, 24.11, 0, 6.46, 69.43, 0, 0, 0, 0
29, 171, 27, 2.29, 5, 12, 28.91, 25.56, 10.74, 0, 0, 0, 34.79, 0
29, 172, 26, 7.99, 6, 13, 20.59, 0, 13.41, 35.81, 0, 0, 30.19, 0
29, 173, 47, 10, 7, 20, 12.29, 17.27, 10.73, 10.66, 25.15, 0, 23.89, 0
29, 174, 45, 3.92, 7, 23, 28.71, 11.82, 22.15, 14.3, 0, 0, 23.02, 0
29, 175, 39, 10.03, 7, 23, 8.76, 14.39, 16.77, 6.93, 3.36, 0, 49.79, 0
29, 176, 54, 12.39, 3, 22, 10.09, 14.87, 21.91, 53.13, 0, 0, 0, 0
30, 177, 26, 9.91, 3, 19, 82.54, 0, 0, 17.46, 0, 0, 0, 0
31, 178, 46, 7.69, 7, 19, 28.84, 26.56, 17.2, 24.43, 2.96, 0, 0, 0
31, 179, 61, 2.01, 1, 18, 22.56, 20.08, 25.77, 6.36, 9.38, 15.85, 0, 0
32, 180, 80, 2.78, 1, 23, 23.13, 17.26, 40.4, 6.15, 4.68, 5.16, 3.2, 0
33, 181, 35, 0, 1, 21, 2.14, 33.72, 37.41, 17.53, 9.2, 0, 0, 0
33, 182, 34, 7.01, 7, 11, 8.71, 36.35, 34.99, 19.95, 0, 0, 0, 0
33, 183, 27, 9.63, 4, 15, 31.6, 21.88, 9.34, 34.49, 2.68, 0, 0, 0
33, 184, 28, 4.09, 3, 15, 15.2, 19.15, 40.01, 9.16, 12.07, 0, 4.41, 0
33, 185, 29, 1.98, 7, 22, 52.45, 19.14, 21.53, 3.33, 0, 0, 3.54, 0
34, 186, 27, 25.95, 1, 12, 22.27, 0, 51.86, 6.15, 0, 19.72, 0, 0
35, 187, 38, 1.76, 2, 20, 24.27, 0, 45.2, 30.53, 0, 0, 0, 0
35, 188, 33, 3.9, 1, 20, 46.66, 0, 30.16, 23.18, 0, 0, 0, 0
35, 189, 18, 3.13, 7, 20, 22.46, 0, 19.16, 58.38, 0, 0, 0, 0
35, 190, 35, 2.94, 4, 18, 43.09, 0, 30.03, 26.88, 0, 0, 0, 0
36, 191, 42, 7.48, 2, 8, 28.01, 6.23, 30.64, 20.6, 14.52, 0, 0, 0
37, 192, 27, 19.17, 3, 8, 15.96, 0, 0, 41.76, 42.28, 0, 0, 0
37, 193, 21, 12.68, 3, 16, 0, 0, 0, 49.69, 33.88, 16.43, 0, 0
37, 194, 19, 9.14, 1, 10, 8.93, 0, 0, 44.4, 46.67, 0, 0, 0
38, 195, 22, 0, 4, 12, 21.81, 6.09, 63.07, 0, 9.03, 0, 0, 0
38, 196, 24, 1.01, 4, 11, 23.4, 7.24, 46.79, 22.56, 0, 0, 0, 0
38, 197, 25, 0, 3, 13, 7.41, 14.49, 60.29, 17.82, 0, 0, 0, 0
39, 198, 3, 0, 2, 9, 0, 0, 0, 0, 0, 100.0, 0, 0
40, 199, 69, 3.16, 4, 23, 40.14, 48.3, 7.2, 1.58, 0, 0, 2.78, 0
41, 200, 22, 18.67, 1, 13, 16.61, 41.69, 5.04, 17.26, 10.85, 8.54, 0, 0
41, 201, 55, 18.85, 2, 23, 25.75, 36.34, 13.03, 3.38, 6.73, 14.78, 0, 0
41, 202, 55, 23.9, 7, 21, 5.64, 53.37, 7.66, 13.39, 19.95, 0, 0, 0
41, 203, 50, 20.26, 4, 20, 27.28, 57.12, 7.95, 5.77, 1.88, 0, 0, 0
41, 204, 27, 20.42, 1, 11, 40.5, 15.43, 44.07, 0, 0, 0, 0, 0
41, 205, 42, 26.01, 4, 22, 24.22, 25.01, 9.55, 17.81, 23.41, 0, 0, 0
41, 206, 34, 18.14, 4, 22, 41.73, 41.58, 16.69, 0, 0, 0, 0, 0
41, 207, 41, 17.52, 1, 22, 48.16, 44.64, 4.83, 0, 2.37, 0, 0, 0
41, 208, 30, 20.75, 4, 8, 26.34, 40.75, 4.0, 13.43, 7.19, 8.29, 0, 0
41, 209, 39, 19.27, 1, 8, 23.32, 33.03, 19.69, 11.12, 12.84, 0, 0, 0
41, 210, 56, 19.09, 2, 23, 28.79, 50.08, 17.31, 0, 3.82, 0, 0, 0
42, 211, 30, 2.95, 1, 2, 11.07, 17.87, 19.28, 6.89, 6.36, 0, 38.52, 0
42, 212, 44, 6.7, 7, 16, 12.68, 30.62, 15.18, 0, 7.69, 0, 33.83, 0
42, 213, 43, 5.33, 3, 0, 33.89, 32.93, 18.44, 0, 8.12, 0, 6.62, 0
42, 214, 24, 11.07, 3, 1, 1.68, 22.3, 13.42, 18.99, 7.59, 0, 36.03, 0
42, 215, 45, 7.26, 1, 0, 29.54, 20.97, 19.11, 0, 0, 0, 30.38, 0
43, 216, 27, 4.52, 3, 15, 0, 0, 28.42, 71.58, 0, 0, 0, 0
43, 217, 29, 5.61, 1, 17, 0, 0, 23.42, 74.56, 2.02, 0, 0, 0
43, 218, 21, 9.87, 3, 16, 0, 0, 23.69, 76.31, 0, 0, 0, 0
44, 219, 51, 0, 7, 18, 60.78, 0, 7.08, 0, 0, 0, 32.14, 0
45, 220, 20, 3.66, 1, 14, 0, 3.89, 68.21, 6.99, 20.9, 0, 0, 0
45, 221, 21, 1.01, 1, 18, 16.52, 3.0, 45.36, 12.74, 22.38, 0, 0, 0
45, 222, 17, 0.76, 3, 18, 6.0, 4.54, 56.12, 7.2, 0, 26.14, 0, 0
46, 223, 26, 23.84, 4, 19, 0, 13.08, 27.6, 35.93, 14.91, 8.48, 0, 0
47, 224, 39, 1.09, 7, 18, 15.04, 18.39, 45.89, 17.33, 3.35, 0, 0, 0
48, 225, 40, 16.06, 1, 1, 22.56, 45.9, 11.82, 19.72, 0, 0, 0, 0
48, 226, 27, 19.49, 5, 10, 27.94, 58.33, 0, 0, 13.74, 0, 0, 0
48, 227, 82, 5.62, 1, 0, 28.41, 26.87, 26.08, 18.64, 0, 0, 0, 0
48, 228, 27, 17.79, 1, 0, 15.68, 69.78, 10.76, 0, 0, 0, 3.78, 0
48, 229, 25, 19.43, 3, 12, 10.59, 69.45, 0, 19.96, 0, 0, 0, 0
48, 230, 41, 20.07, 1, 10, 21.15, 47.17, 13.17, 0, 18.52, 0, 0, 0
48, 231, 82, 22.84, 2, 0, 23.18, 41.36, 10.21, 5.57, 7.02, 0, 12.65, 0
48, 232, 24, 16.83, 4, 12, 56.0, 17.14, 17.5, 0, 0, 0, 9.36, 0
48, 233, 50, 16.29, 3, 10, 11.75, 51.59, 16.96, 4.01, 11.67, 0, 4.02, 0
48, 234, 40, 18.58, 1, 12, 45.88, 47.91, 6.21, 0, 0, 0, 0, 0
48, 235, 51, 25.37, 1, 17, 29.7, 48.09, 18.17, 4.04, 0, 0, 0, 0
48, 236, 42, 16.21, 1, 13, 15.96, 63.85, 20.19, 0, 0, 0, 0, 0
48, 237, 49, 17.08, 7, 21, 10.9, 50.22, 23.93, 0, 9.64, 0, 5.31, 0
48, 238, 6, 36.83, 1, 8, 9.83, 0, 0, 14.64, 0, 0, 75.54, 0
48, 239, 31, 15.96, 1, 12, 16.4, 71.23, 12.37, 0, 0, 0, 0, 0
48, 240, 52, 20.67, 5, 0, 31.9, 68.1, 0, 0, 0, 0, 0, 0
48, 241, 35, 17.56, 1, 1, 10.81, 57.5, 20.74, 3.58, 7.37, 0, 0, 0
48, 242, 36, 18.33, 2, 10, 19.03, 45.58, 27.24, 8.16, 0, 0, 0, 0
48, 243, 23, 17.09, 2, 12, 39.74, 19.3, 23.08, 17.88, 0, 0, 0, 0
48, 244, 57, 20.88, 1, 13, 28.99, 31.9, 17.88, 13.19, 8.05, 0, 0, 0
48, 245, 37, 15.81, 5, 13, 3.76, 62.39, 30.06, 0, 3.8, 0, 0, 0
48, 246, 42, 18.92, 1, 1, 21.05, 60.17, 10.38, 0, 0, 0, 8.39, 0
49, 247, 5, 0, 3, 14, 0, 0, 0, 100.0, 0, 0, 0, 0
50, 248, 31, 9.73, 7, 12, 29.8, 14.55, 49.41, 0, 6.25, 0, 0, 0
50, 249, 37, 8.44, 7, 19, 33.83, 13.26, 50.24, 2.67, 0, 0, 0, 0
50, 250, 25, 8.83, 7, 22, 14.89, 18.35, 62.46, 4.3, 0, 0, 0, 0
50, 251, 32, 14.57, 3, 22, 16.01, 21.11, 43.87, 19.02, 0, 0, 0, 0
50, 252, 26, 6.6, 6, 22, 14.5, 7.97, 72.12, 5.41, 0, 0, 0, 0
50, 253, 36, 14.68, 7, 19, 16.77, 21.14, 48.17, 0, 6.42, 7.49, 0, 0
51, 254, 66, 3.3, 3, 9, 10.49, 57.3, 24.89, 3.62, 0, 0, 0, 3.7
51, 255, 47, 1.62, 1, 11, 21.4, 38.57, 26.5, 5.14, 0, 0, 0, 8.39
51, 256, 96, 4.2, 6, 11, 22.94, 53.47, 12.47, 5.11, 0, 0, 0, 6.0
51, 257, 68, 3.61, 2, 9, 20.37, 51.74, 0, 9.39, 4.44, 0, 0, 14.06
52, 258, 10, 30.64, 7, 21, 0, 0, 0, 56.1, 43.9, 0, 0, 0
53, 259, 103, 19.17, 6, 22, 49.48, 23.97, 11.09, 11.84, 1.85, 1.17, 0.6, 0
53, 260, 51, 17.09, 6, 8, 24.58, 60.87, 5.12, 4.47, 4.95, 0, 0, 0
53, 261, 94, 18.78, 2, 7, 40.1, 47.81, 6.39, 5.7, 0, 0, 0, 0
53, 262, 51, 16.47, 7, 22, 49.67, 45.03, 0, 0, 5.29, 0, 0, 0
53, 263, 47, 15, 1, 21, 29.52, 59.17, 7.28, 0, 2.0, 2.04, 0, 0
53, 264, 61, 16.45, 7, 18, 48.84, 44.59, 5.29, 0, 1.29, 0, 0, 0
53, 265, 61, 16.27, 1, 12, 31.05, 55.96, 10.17, 1.15, 0, 0, 1.68, 0
53, 266, 35, 15, 7, 22, 42.16, 33.29, 8.87, 7.34, 8.35, 0, 0, 0
53, 267, 66, 18.44, 7, 23, 43.28, 41.61, 0, 12.65, 0, 0, 2.46, 0
53, 268, 58, 15.64, 7, 12, 45.38, 45.49, 9.13, 0, 0, 0, 0, 0
53, 269, 50, 15, 5, 7, 59.61, 23.96, 4.07, 4.9, 0, 0, 7.47, 0
53, 270, 48, 20.32, 7, 21, 41.35, 46.19, 9.7, 2.76, 0, 0, 0, 0
53, 271, 47, 15, 7, 22, 48.31, 45.02, 5.02, 0, 0, 0, 1.65, 0
53, 272, 52, 15.47, 6, 20, 38.6, 45.69, 3.39, 8.39, 0, 0, 3.93, 0
